station,catchment,zone,sample_date,year,month,season,ec_us_cm,total_n_mg_l,nox_n_mg_l,total_p_mg_l,reactive_p_mg_l,tss_mg_l,turbidity_ntu,do_sat_pct,ph,risk_score,high_concern,turbidity_ntu_bad,tss_mg_l_bad,total_n_mg_l_bad,total_p_mg_l_bad,do_sat_pct_bad,next_month_high_concern
HASTINGS RIVER AT KOOREE ISLAND ROAD,Hastings,Lower North Coast,2016-10-05 07:04:00,2016,10,spring,150.0,4.8,0.04,0.01,0.005,10.0,2.2,90.9,7.6,1,0.0,0,0,1,0,0,0.0
MANNING RIVER AT KILLAWARRA,Manning,Lower North Coast,2016-10-05 09:21:00,2016,10,spring,120.0,2.5,0.01,0.024,0.007,10.0,3.7,97.4,7.9,1,0.0,0,0,1,0,0,0.0
BARNARD RIVER AT MACKAY,Manning,Lower North Coast,2016-10-05 11:49:00,2016,10,spring,130.0,1.0,0.01,0.027,0.009,10.0,4.6,103.0,8.0,1,0.0,0,0,1,0,0,0.0
KARUAH RIVER AT BOORAL,Karuah,Lower North Coast,2016-10-06 07:26:00,2016,10,spring,330.0,0.45,0.02,0.045,0.013,10.0,3.6,71.4,7.5,1,0.0,0,0,0,0,1,0.0
HUNTER RIVER AT SINGLETON,Hunter,Hunter,2016-10-06 12:04:00,2016,10,spring,586.0,0.46,0.14,0.11,0.052,27.0,243.0,97.6,8.2,1,0.0,1,0,0,0,0,1.0
HUNTER RIVER AT MOSES CROSSING,Hunter,Hunter,2016-10-06 13:12:00,2016,10,spring,594.0,0.63,0.28,0.13,0.058,32.0,22.9,97.7,8.2,2,1.0,0,1,0,1,0,0.0
GOULBURN RIVER AT SANDY HOLLOW,Hunter,Hunter,2016-10-06 14:42:00,2016,10,spring,570.0,0.43,0.04,0.085,0.044,13.0,13.1,101.0,8.2,0,0.0,0,0,0,0,0,0.0
WOLLOMBI BROOK AT WARKWRTH,Hunter,Hunter,2016-10-07 07:48:00,2016,10,spring,751.0,0.26,0.01,0.01,0.005,10.0,4.4,86.6,7.7,0,0.0,0,0,0,0,0,0.0
HUNTER RIVER AT MUSWELLBROOK,Hunter,Hunter,2016-10-18 12:50:00,2016,10,spring,650.0,0.48,0.25,0.1,0.024,13.0,11.5,101.0,8.2,0,0.0,0,0,0,0,0,0.0
HUNTER RIVER AT MOONAN FLAT,Hunter,Hunter,2016-10-18 14:20:00,2016,10,spring,250.0,0.29,0.01,0.056,0.025,10.0,6.6,102.0,8.4,0,0.0,0,0,0,0,0,0.0
BELLINGER RIVER AT BELLINGEN,Bellinger,North Coast,2016-10-25 10:02:00,2016,10,spring,71.0,0.1,0.02,0.01,0.005,10.0,1.9,95.4,7.4,0,0.0,0,0,0,0,0,0.0
NYMBOIDA RIVER AT NYMBOIDA,Clarence,North Coast,2016-10-25 12:32:00,2016,10,spring,51.0,0.31,0.01,0.01,0.005,10.0,1.7,98.8,7.5,0,0.0,0,0,0,0,0,0.0
